,time,open,high,low,close,tick_volume,spread,real_volume
32731,1667412420,0.98739,0.98744,0.98724,0.98728,116,0,0
32732,1667412480,0.98729,0.98739,0.98697,0.98715,149,0,0
32733,1667412540,0.98715,0.9872,0.98709,0.98719,93,0,0
32734,1667412600,0.98719,0.98735,0.98714,0.98714,93,0,0
32735,1667412660,0.98718,0.98721,0.98702,0.98703,69,0,0
32736,1667412720,0.98704,0.9871,0.98697,0.98707,59,0,0
32737,1667412780,0.98705,0.98707,0.98694,0.98695,58,0,0
32738,1667412840,0.98692,0.98703,0.98687,0.98695,101,0,0
32739,1667412900,0.98694,0.98696,0.98687,0.98689,81,0,0
32740,1667412960,0.98688,0.98688,0.98652,0.98659,67,0,0
32741,1667413020,0.98662,0.98663,0.98633,0.98634,58,0,0
32742,1667413080,0.98634,0.98641,0.98632,0.98632,76,0,0
32743,1667413140,0.98634,0.98636,0.9862,0.98634,57,0,0
32744,1667413200,0.98635,0.98635,0.98617,0.98625,86,0,0
32745,1667413260,0.98625,0.98636,0.98619,0.98634,85,0,0
32746,1667413320,0.98637,0.9864,0.98617,0.98618,88,0,0
32747,1667413380,0.98618,0.9864,0.98617,0.98637,89,0,0
32748,1667413440,0.98635,0.98652,0.98635,0.98636,119,0,0
32749,1667413500,0.98636,0.98658,0.98624,0.98658,122,0,0
32750,1667413560,0.98659,0.98669,0.98652,0.98664,70,0,0
32751,1667413620,0.98664,0.9867,0.98653,0.98653,75,0,0
32752,1667413680,0.98652,0.98664,0.98648,0.98652,106,0,0
32753,1667413740,0.98652,0.98656,0.98648,0.98652,55,0,0
32754,1667413800,0.98652,0.98657,0.98642,0.98643,70,0,0
32755,1667413860,0.98643,0.98651,0.98642,0.98649,45,0,0
32756,1667413920,0.98649,0.98656,0.98628,0.98632,73,0,0
32757,1667413980,0.98632,0.98641,0.98632,0.98639,51,0,0
32758,1667414040,0.98639,0.98642,0.98628,0.98634,102,0,0
32759,1667414100,0.98635,0.98641,0.98623,0.98623,55,0,0
32760,1667414160,0.98624,0.98625,0.98593,0.98603,70,0,0
32761,1667414220,0.98602,0.98609,0.98595,0.98609,55,0,0
32762,1667414280,0.98609,0.98613,0.98589,0.9859,80,0,0
32763,1667414340,0.9859,0.98601,0.9859,0.986,60,0,0
32764,1667414400,0.98599,0.98612,0.98599,0.98605,69,0,0
32765,1667414460,0.98604,0.9862,0.98599,0.98619,50,0,0
32766,1667414520,0.98619,0.98626,0.98619,0.9862,50,0,0
32767,1667414580,0.98621,0.98637,0.98617,0.98636,73,0,0
32768,1667414640,0.98636,0.98642,0.98633,0.98635,44,0,0
32769,1667414700,0.98633,0.98636,0.98623,0.98631,62,0,0
32770,1667414760,0.98631,0.98642,0.98628,0.98629,87,0,0
32771,1667414820,0.98629,0.9863,0.98608,0.9862,73,0,0
32772,1667414880,0.98619,0.98622,0.98614,0.98619,49,0,0
32773,1667414940,0.98617,0.98629,0.98617,0.98619,55,0,0
32774,1667415000,0.9862,0.98627,0.98613,0.98613,64,0,0
32775,1667415060,0.98611,0.98622,0.9861,0.98621,67,0,0
32776,1667415120,0.98621,0.98625,0.98605,0.98609,68,0,0
32777,1667415180,0.98609,0.98618,0.98604,0.98618,73,0,0
32778,1667415240,0.98621,0.98625,0.98613,0.98616,48,0,0
32779,1667415300,0.98616,0.98627,0.98615,0.98627,39,0,0
32780,1667415360,0.98626,0.98677,0.98624,0.98676,82,0,0
32781,1667415420,0.98675,0.98696,0.98675,0.98692,80,0,0
32782,1667415480,0.98692,0.98694,0.98679,0.98679,68,0,0
32783,1667415540,0.98678,0.98686,0.9867,0.98676,67,0,0
32784,1667415600,0.98676,0.98687,0.98668,0.98672,75,0,0
32785,1667415660,0.9867,0.98676,0.98664,0.98676,58,0,0
32786,1667415720,0.98676,0.98686,0.98674,0.98679,57,0,0
32787,1667415780,0.98679,0.98679,0.98665,0.98672,68,0,0
32788,1667415840,0.98673,0.98682,0.9867,0.98674,54,0,0
32789,1667415900,0.98675,0.98676,0.98667,0.98668,29,0,0
32790,1667415960,0.98668,0.9867,0.98644,0.98644,48,0,0
32791,1667416020,0.98644,0.9866,0.98636,0.98638,58,0,0
32792,1667416080,0.98634,0.98636,0.98627,0.98628,54,0,0
32793,1667416140,0.98628,0.98652,0.98619,0.98639,102,0,0
32794,1667416200,0.98639,0.98643,0.98633,0.9864,57,0,0
32795,1667416260,0.9864,0.98642,0.98633,0.98634,31,0,0
32796,1667416320,0.98634,0.98637,0.98614,0.98617,53,0,0
32797,1667416380,0.98615,0.98621,0.98602,0.98603,86,0,0
32798,1667416440,0.98602,0.98613,0.98595,0.98596,69,0,0
32799,1667416500,0.98593,0.98596,0.98589,0.98595,30,0,0
32800,1667416560,0.98594,0.98622,0.98594,0.9862,27,0,0
32801,1667416620,0.9862,0.98634,0.98618,0.98633,55,0,0
32802,1667416680,0.98633,0.9864,0.98629,0.98634,30,0,0
32803,1667416740,0.98635,0.98645,0.98625,0.98645,50,0,0
32804,1667416800,0.98644,0.98655,0.98638,0.98655,71,0,0
32805,1667416860,0.9865,0.9865,0.98637,0.98649,35,0,0
32806,1667416920,0.98649,0.98657,0.98641,0.98645,55,0,0
32807,1667416980,0.98646,0.98647,0.98641,0.98642,38,0,0
32808,1667417040,0.98642,0.98653,0.98642,0.98644,43,0,0
32809,1667417100,0.98644,0.98656,0.98643,0.98651,53,0,0
32810,1667417160,0.98651,0.98669,0.98651,0.98667,36,0,0
32811,1667417220,0.98667,0.98676,0.98664,0.98668,39,0,0
32812,1667417280,0.98668,0.98673,0.9866,0.98671,59,0,0
32813,1667417340,0.98671,0.98679,0.98665,0.9867,57,0,0
32814,1667417400,0.9867,0.98671,0.98659,0.98671,63,0,0
32815,1667417460,0.98669,0.98686,0.98668,0.98686,53,0,0
32816,1667417520,0.98686,0.98702,0.98686,0.98697,38,0,0
32817,1667417580,0.98696,0.98712,0.98696,0.98711,51,0,0
32818,1667417640,0.9871,0.9875,0.98708,0.98746,81,0,0
32819,1667417700,0.98745,0.98767,0.98738,0.98765,80,0,0
32820,1667417760,0.98764,0.98772,0.9876,0.98768,56,0,0
32821,1667417820,0.98769,0.98789,0.98766,0.98785,55,0,0
32822,1667417880,0.98785,0.98807,0.98782,0.988,64,0,0
32823,1667417940,0.988,0.988,0.98789,0.988,32,0,0
32824,1667418000,0.98803,0.98843,0.98802,0.98842,77,0,0
32825,1667418060,0.98842,0.98842,0.98816,0.98823,102,0,0
32826,1667418120,0.98824,0.98832,0.98803,0.98809,70,0,0
32827,1667418180,0.98809,0.98816,0.98804,0.98812,36,0,0
32828,1667418240,0.98811,0.98817,0.98804,0.98811,76,0,0
